POINT_TYPE,AveTree,AvePFG,AveAFG,AveShrub,AveLit,AveBG,AveTemp,AvePrecip,AveCrop,DensOil,DensWind,DensRoadway,DistHighway,DistWind,DistTrans,DistRoadway,DistOil,Ruggedness,VarPFG,VarShrub,VarBG,VarAFG,VarLit
LEK,3.325237751,68.16971588,8.259851456,3.217351675,6.386646271,6.756508827,26.04638481,564.9351807,0.150533304,1,0,2379.590332,2196.24707,27741.61133,2328.525391,474.6149597,2028.281494,16.61091614,19.01109314,2.334821224,7.459187984,8.673874855,2.960259199
LEK,2.37525034,76.91637421,5.757909775,2.481744766,4.744313717,4.850460052,25.90758705,558.5209351,0.065586925,2,0,2467.166016,2630.705322,17905.89844,3340.965332,578.0440063,2692.49707,17.83037949,14.96261311,1.684477329,6.187865257,5.825829983,2.427569389
LEK,2.668020725,52.17564011,3.581826448,6.095041752,11.72299767,20.40613747,25.95766258,542.7387085,0.015307345,7,0,1945.141235,3075.769287,36609.98047,3042.179688,136.8785248,1700.630127,18.48622131,15.51259804,2.425316334,9.140332222,6.259633064,4.330370903
LEK,2.679285049,48.60706329,5.568766117,5.955234051,12.54934025,21.50522232,25.97718239,540.7929688,0.02761258,7,0,2142.700928,1590.076294,35067.48047,3393.116211,9.15297699,2071.828125,16.93815613,18.5369072,2.635790348,10.36576939,9.025169373,5.765262127
LEK,3.099207401,72.58550262,6.971256256,2.662040472,5.180126667,6.057139874,25.98916054,558.9264526,0.107754461,3,0,2481.780518,4315.143555,20938.04102,5025.028809,498.2850342,2758.279785,18.2193737,19.17227364,1.705482125,7.861741543,6.787987232,2.757610321
LEK,2.027089119,69.54646301,9.875339508,3.658467531,4.428996086,5.476996422,25.87412071,494.8417664,0.076418951,18,0,2227.428955,4341.736328,11453.79688,543.2463989,521.6115112,925.1152344,19.76349068,16.77373314,2.921257734,5.541571617,9.368689537,2.908187151
LEK,3.816582441,68.08045197,9.080242157,4.729937077,6.412569523,5.189999104,26.48865128,559.4873657,0.131585672,3,0,2886.855469,2408.580566,22739.82227,2471.770996,743.079834,3547.049561,18.90437126,18.3742466,6.308857918,5.307042122,9.442027092,3.006012201
LEK,2.579457045,56.86997223,2.710765123,5.883040428,10.60863304,18.15156174,25.97447777,546.7597656,0.014508304,4,0,1466.868896,5244.195801,42312.87891,5279.351563,425.1065979,2630.120605,17.44245148,12.85554981,2.000902891,6.908598423,4.134268284,3.507139921
LEK,1.831466913,79.07192993,4.772559166,2.725245237,4.598487854,3.869989634,25.97195816,548.5916748,0.012890621,4,0,1644.916992,5292.586426,14998.58789,5639.371094,438.9303589,3189.230957,15.71075058,10.19848537,2.178943872,3.051979303,4.500103474,1.685191274
LEK,3.807038784,67.97236633,8.869096756,3.211616039,5.832097054,6.339868069,26.11986732,562.4375,0.155099958,1,0,2516.897217,5428.640137,28606.06641,5505.112793,474.6439819,1494.174438,15.15113449,19.97029877,2.373031616,7.526763916,8.055403709,2.987228632
LEK,1.694949865,64.81965637,12.71647263,2.784895658,6.399151802,8.633014679,25.77358818,508.6731262,0.321323872,9,0,2893.812012,5460.947266,14112.98926,5434.161133,641.8436279,2711.474365,13.3326416,24.98993683,1.919658065,11.07404137,15.27820015,5.126954079
