POINT_C,POINT_TYPE,AveTree,AvePFG,AveAFG,AveBG,AveShrub,AveLit,DensOil,DensRoadway,DensWind,DistHighway,DistOil,DistRoadway,DistWind,Ruggedness,VarAFG,VarPFG,VarBG,VarTree,VarLit,VarShrub,AvePrecip,AveTemp,AveCrop,AveElev,DistTrans,Data_set,Stable_lek,PT_Type
STABLE,LEK,3.462422371,65.56710052,9.752851486,7.326272011,3.610128641,7.122337818,0,2481.482666,0,2.720697021,5.568540527,0.172895309,28.93526953,17.33816338,8.456374168,21.59872818,8.6804142,4.860261917,4.602200508,3.270604372,572.4505615,26.23090935,0.234059215,732.4257813,1.086492798,A,1,1
LEK,LEK,2.864479542,66.75149536,9.151082039,7.431468964,3.619286776,7.075484276,0,2261.724609,0,1.730879028,5.789334473,0.209514908,30.43960547,17.0369339,7.874565601,21.80298233,9.084895134,4.166756153,4.831861973,3.947578669,572.1400146,26.19235611,0.231097192,737.475647,0.625323547,A,0,1
LEK,LEK,3.992073536,66.58298492,9.212772369,5.295967102,4.456884384,6.233721733,2,1786.989746,0,2.087625,3.48281958,1.148317139,31.18156445,19.43997192,8.060896873,16.25097656,5.275823593,5.08498764,2.540848255,4.591561794,566.6332397,26.14795303,0.092659153,746.4536133,2.824881104,A,0,1
LEK,LEK,3.325237751,68.16971588,8.259851456,6.756508827,3.217351675,6.386646271,1,2379.590332,0,2.19624707,2.028281494,0.47461496,27.74161133,16.61091614,8.673874855,19.01109314,7.459187984,4.659889698,2.960259199,2.334821224,564.9351807,26.04638481,0.150533304,768.6521606,2.328525391,A,0,1
LEK,LEK,2.37525034,76.91637421,5.757909775,4.850460052,2.481744766,4.744313717,2,2467.166016,0,2.630705322,2.69249707,0.578044006,17.90589844,17.83037949,5.825829983,14.96261311,6.187865257,3.621208668,2.427569389,1.684477329,558.5209351,25.90758705,0.065586925,803.3270874,3.340965332,A,0,1
LEK,LEK,2.668020725,52.17564011,3.581826448,20.40613747,6.095041752,11.72299767,7,1945.141235,0,3.075769287,1.700630127,0.136878525,36.60998047,18.48622131,6.259633064,15.51259804,9.140332222,2.636892319,4.330370903,2.425316334,542.7387085,25.95766258,0.015307345,808.9425049,3.042179688,O,0,1
LEK,LEK,2.679285049,48.60706329,5.568766117,21.50522232,5.955234051,12.54934025,7,2142.700928,0,1.590076294,2.071828125,0.009152977,35.06748047,16.93815613,9.025169373,18.5369072,10.36576939,2.671784639,5.765262127,2.635790348,540.7929688,25.97718239,0.02761258,809.5849609,3.393116211,O,0,1
LEK,LEK,3.099207401,72.58550262,6.971256256,6.057139874,2.662040472,5.180126667,3,2481.780518,0,4.315143555,2.758279785,0.498285034,20.93804102,18.2193737,6.787987232,19.17227364,7.861741543,4.651462078,2.757610321,1.705482125,558.9264526,25.98916054,0.107754461,791.2637939,5.025028809,A,0,1
LEK,LEK,2.027089119,69.54646301,9.875339508,5.476996422,3.658467531,4.428996086,18,2227.428955,0,4.341736328,0.925115234,0.521611511,11.45379688,19.76349068,9.368689537,16.77373314,5.541571617,3.140591145,2.908187151,2.921257734,494.8417664,25.87412071,0.076418951,830.9163818,0.543246399,A,0,1
LEK,LEK,3.816582441,68.08045197,9.080242157,5.189999104,4.729937077,6.412569523,3,2886.855469,0,2.408580566,3.547049561,0.743079834,22.73982227,18.90437126,9.442027092,18.3742466,5.307042122,5.917416096,3.006012201,6.308857918,559.4873657,26.48865128,0.131585672,687.1072388,2.471770996,A,0,1
LEK,LEK,2.579457045,56.86997223,2.710765123,18.15156174,5.883040428,10.60863304,4,1466.868896,0,5.244195801,2.630120605,0.425106598,42.31287891,17.44245148,4.134268284,12.85554981,6.908598423,2.704869986,3.507139921,2.000902891,546.7597656,25.97447777,0.014508304,802.7749634,5.279351563,O,0,1
